irn,leaid,district,fb_create_date,fb_create_month,fb_create_year,
43646,3904364,"Brecksville-Broadview Height, Cuyahoga",22,11,2011,
43729,3910030,"Celina City SD, Mercer",11,2,2011,
43737,3904373,"Centerville City SD, Montgomery",8,12,2011,
43778,3904377,"Claymont City SD, Tuscarawas",26,9,2011,
43794,3904379,"Cleveland Hts-Univ Hts City, Cuyahoga",7,1,2011,
45336,3904533,"Covington Ex Vill SD, Miami",31,8,2011,
43836,3904383,"Cuyahoga Falls City SD, Summit",14,8,2011,
43893,3904389,"Dover City SD, Tuscarawas",4,8,2011,
46789,3904678,"Edison Local SD, Erie",27,5,2011,
43950,3904395,"Euclid City SD, Cuyahoga",28,7,2011,
43984,3910000,"Findlay City SD, Hancock",20,1,2011,
47340,3904734,"Forest Hills Local SD, Hamilton",18,1,2011,
49783,3904978,"Fort Loramie Local SD, Shelby",10,6,2011,
43992,3904399,"Fostoria City SD, Seneca",11,1,2011,
44040,3904404,"Garfield Heights City SD, Cuyahoga",9,2,2011,
45377,3904537,"Georgetown Ex Vill SD, Brown",31,10,2011,
44099,3904409,"Greenville City SD, Darke",11,6,2011,
50021,3905002,"Hudson City SD, Summit",2,3,2011,
47803,3904780,"Indian Creek Local SD, Jefferson",11,12,2011,
50435,3905043,"Kings Local SD, Warren",11,2,2011,
44214,3904421,"Lebanon City SD, Warren",11,2,2011,
44255,3904425,"London City SD, Madison",10,2,2011,
46805,3904680,"Margaretta Local SD, Erie",24,4,2011,
44354,3904435,"Massillon City SD, Stark",13,5,2011,
47712,3904771,"Monroeville Local SD, Huron",19,4,2011,
45955,3904595,"New Bremen Local SD, Auglaize",22,9,2011,
45567,3904556,"Newton Falls Ex Vill SD, Trumbull",23,5,2011,
50708,3905070,"North Baltimore Local SD, Wood",28,9,2011,
47365,3904736,"Northwest Local SD, Hamilton",22,8,2011,
44628,3910015,"Painsville City Local SD, Lake",2,10,2011,
44644,3904464,"Piqua City SD, Miami",18,10,2011,
46607,3904660,"Solon City SD, Cuyahoga",2,5,2011,
44867,3904486,"Sycamore Community City SD, Hamilton",10,11,2011,
45922,3904592,"Trimble Local SD, Athens",24,8,2011,
50302,3905030,"Tuscarawas Valley Local SD, Tuscarawas",6,4,2011,
47472,3904747,"Vanlue Local SD, Hancock",10,1,2011,
45013,3910011,"Washington Court House City, Fayette",4,5,2011,
45641,3904564,"Wauseon Ex Vill SD, Fulton",26,2,2011,
48884,3904888,"West Muskingum Local SD, Muskingum",7,9,2011,
49577,3904957,"Woodmore Local SD, Sandusky",30,8,2011,
48991,3904899,"Antwerp Local SD, Paulding",12,3,2012,
43638,3904363,"Bowling Green City SD, Wood",7,2,2012,
50120,3905012,"Brookfield Local SD, Trumbull",2,5,2012,
43661,3904366,"Brunswick City SD, Medina",30,7,2012,
49312,3904931,"Columbus Grove Local SD, Putnam",10,10,2012,
43869,3904386,"Defiance City SD, Defiance",20,11,2012,
44016,3904401,"Fremont City SD, Sandusky",6,9,2012,
46342,3904634,"Goshen Local SD, Clermont",21,11,2012,
44115,3904411,"Heath City SD, Licking",7,11,2012,
44131,3904413,"Huron City SD, Erie",17,8,2012,
46565,3904656,"Independence Local SD, Cuyahoga",7,5,2012,
50153,3905015,"Mathews Local SD, Trumbull",23,9,2012,
44438,3904443,"Napoleon City SD, Henry",17,1,2012,
47720,3904772,"New London Local SD, Huron",11,4,2012,
44453,3904445,"Newark City SD, Licking",15,7,2012,
44537,3904453,"North Ridgeville City SD, Lorain",27,6,2012,
48728,3904872,"Northmont City SD, Montgomery",8,3,2012,
44602,3904460,"Oregon City SD, Lucas",10,4,2012,
46599,3904659,"Richmond Heights Local SD, Cuyahoga",14,9,2012,
49817,3904981,"Russia Local SD, Shelby",15,6,2012,
44784,3910003,"Sidney City SD, Shelby",22,10,2012,
49064,3904906,"Southern Local SD, Perry",13,12,2012,
44818,3904481,"Springfield City SD, Clark",15,11,2012,
44982,3904498,"Wapakoneta City SD, Auglaize",23,10,2012,
48231,3904823,"Washington Local SD, Lucas",10,10,2012,
44081,3904408,"Winton Woods City SD, Hamilton",23,2,2012,
45187,3904518,"Ada Ex Vill SD, Hardin",11,8,2013,
43539,3904353,"Barberton City SD, Summit",17,10,2013,
46748,3904674,"Big Walnut Local SD, Delaware",2,10,2013,
46946,3904694,"Canal Winchester Local SD, Franklin",20,9,2013,
45302,3910020,"Clyde-Green Springs Ex Vill, Sandusky",30,7,2013,
43828,3904382,"Coshocton City SD, Coshocton",31,1,2013,
46433,3904643,"Crestview Local SD, Columbiana",10,9,2013,
50625,3905062,"Edon-Northwest Local SD, Williams",20,9,2013,
46193,3904619,"Graham Local SD, Champaign",29,8,2013,
50013,3905001,"Green Local SD, Summit",29,7,2013,
47266,3904726,"Greeneview Local SD, Greene",8,10,2013,
46235,3904623,"Greenon Local SD, Clark",17,12,2013,
49809,3910005,"Jackson Center Local SD, Shelby",22,1,2013,
49205,3904920,"James A Garfield Local SD, Portage",11,9,2013,
44362,3904436,"Maumee City SD, Lucas",4,11,2013,
46920,3910010,"Miami Trace Local SD, Fayette",15,8,2013,
46722,3904672,"Northeastern Local SD, Defiance",15,1,2013,
44586,3904458,"Oakwood City SD, Montgomery",17,7,2013,
48215,3904821,"Ottawa Hills Local SD, Lucas",17,8,2013,
49395,3904939,"Pandora-Gilboa Local SD, Putnam",13,9,2013,
47597,3904759,"Patrick Henry Local SD, Henry",9,12,2013,
49924,3904992,"Perry Local SD, Stark",6,5,2013,
45880,3904588,"Pymatuning Valley Local SD, Ashtabula",22,7,2013,
50427,3905042,"Springboro Community City SD, Warren",7,8,2013,
44727,3904472,"St Marys City SD, Auglaize",1,11,2013,
47092,3904709,"Swanton Local SD, Fulton",26,9,2013,
44909,3904490,"Toledo City SD, Lucas",3,9,2013,
91397,3904926,"Tri-County North Local SD, Preble",27,8,2013,
44933,3904493,"Upper Arlington City SD, Franklin",3,7,2013,
44958,3904495,"Vandalia-Butler City SD, Montgomery",20,8,2013,
43786,3904378,"Cleveland Municipal SD, Cuyahoga",23,6,2014,
45344,3910008,"Crestline Ex Vill SD, Crawford",30,6,2014,
47027,3904702,"Dublin City SD, Franklin",25,6,2014,
47050,3904705,"Evergreen Local SD, Fulton",13,1,2014,
48082,3904808,"Indian Lake Local SD, Logan",19,5,2014,
49338,3904933,"Jennings Local SD, Putnam",20,11,2014,
47589,3904758,"Liberty Center Local SD, Henry",21,8,2014,
50195,3905019,"Liberty Local SD, Trumbull",14,3,2014,
49270,3904927,"National Trail Local SD, Preble",7,4,2014,
44503,3904450,"North Canton City SD, Stark",8,5,2014,
46268,3904626,"Northwestern Local SD, Clark",2,1,2014,
49726,3910021,"Old Fort Local SD, Seneca",1,4,2014,
49379,3904937,"Ottawa-Glandorf Local SD, Putnam",17,9,2014,
49288,3904928,"Preble-Shawnee Local SD, Preble",5,9,2014,
44693,3904469,"Reading Community City SD, Hamilton",26,2,2014,
46482,3904648,"River View Local SD, Coshocton",24,11,2014,
49684,3904968,"Seneca East Local SD, Seneca",29,5,2014,
48041,3904804,"Southwest Licking Local SD, Licking",27,9,2014,
44925,3904492,"Troy City SD, Miami",8,8,2014,
46904,3904690,"Walnut Township Local SD, Fairfield",26,3,2014,
45005,3904500,"Warrensville Heights City SD, Cuyahoga",7,1,2014,
49973,3904997,"Woodridge Local SD, Summit",11,2,2014,
46847,3904684,"Amanda-Clearcreek Local SD, Fairfield",9,8,2015,
49171,3904917,"Aurora City SD, Portage",23,12,2015,
43604,3904361,"Belpre City SD, Washington",8,7,2015,
46854,3904685,"Berne Union Local SD, Fairfield",26,3,2015,
